,Oil_store,주소,가격,셀프,상표,구
457,(주)보성 세곡주유소,서울특별시 강남구  헌릉로 731 (세곡동),1525.0,Y,SK에너지,강남구
458,현대오일뱅크 도곡셀프주유소,서울 강남구  남부순환로 2718 (도곡2동),1548.0,Y,현대오일뱅크,강남구
459,방죽주유소,서울특별시 강남구 밤고개로 215 (율현동),1559.0,Y,S-OIL,강남구
460,현대오일뱅크(주) 유진주유소,서울 강남구 논현로 152 (도곡동),1563.0,N,현대오일뱅크,강남구
461,(주)정원이디에쓰 산성주유소,서울 강남구 헌릉로 730 (세곡동),1569.0,Y,GS칼텍스,강남구
462,SK서광주유소,서울 강남구 역삼로 142 (역삼동),1585.0,Y,SK에너지,강남구
463,지에스칼텍스㈜ 은마주유소,서울 강남구 영동대로 235,1587.0,N,GS칼텍스,강남구
464,(주)동하힐탑셀프주유소,서울 강남구 논현로 640 (논현동),1597.0,Y,SK에너지,강남구
465,지에스칼텍스㈜ 삼성로주유소,서울 강남구 삼성로 563 (삼성동),1597.0,Y,GS칼텍스,강남구
466,에쓰-오일(주)직영개나리주유소,서울특별시 강남구  언주로 423 (역삼동),1597.0,N,S-OIL,강남구
467,지에스칼텍스㈜ GS타워주유소,서울 강남구 논현로 516 (역삼동),1597.0,N,GS칼텍스,강남구
468,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),1598.0,N,S-OIL,강남구
469,자곡셀프주유소,서울 강남구 밤고개로 120 (자곡동),1598.0,Y,SK에너지,강남구
470,대동석유 압구정주유소,서울특별시 강남구  언주로 842 (신사동),1612.0,Y,SK에너지,강남구
471,지에스칼텍스㈜ 주성주유소,서울 강남구 영동대로 716,1615.0,N,GS칼텍스,강남구
472,일원주유소,서울 강남구 양재대로55길 3 (일원동),1647.0,Y,S-OIL,강남구
473,주)중앙에너비스 수서지점,서울특별시 강남구  광평로 202 (수서동),1648.0,Y,SK에너지,강남구
474,SK네트웍스(주) 매봉주유소,서울 강남구 언주로 307,1649.0,Y,SK에너지,강남구
475,청명주유소,서울특별시 강남구  역삼로 205 (역삼동),1653.0,N,SK에너지,강남구
476,에스제이에너지(주) 개포주유소,서울 강남구 양재대로 339 (개포동),1658.0,N,GS칼텍스,강남구
477,주식회사 논현에너지,서울 강남구 학동로 229 (논현동),1677.0,N,GS칼텍스,강남구
478,sk네트웍스(주)진달래주유소,서울특별시 강남구  도곡로 208 (도곡동),1699.0,N,SK에너지,강남구
479,대교주유소,서울 강남구 강남대로 640 (신사동),1795.0,N,SK에너지,강남구
480,(주)새서울석유,서울 강남구 압구정로 154 (신사동),1798.0,N,현대오일뱅크,강남구
481,현대오일뱅크(주)직영 신사현대주유소,서울 강남구 도산대로 163 (신사동),1813.0,N,현대오일뱅크,강남구
482,대청주유소,서울 강남구 개포로 654 (일원동),1886.0,N,SK에너지,강남구
483,동일석유㈜직영 남부주유소,서울 강남구 선릉로 34,1889.0,N,SK에너지,강남구
484,대성석유(주)동호주유소,서울 강남구 봉은사로113길 51,1897.0,N,GS칼텍스,강남구
485,명품주유소,서울 강남구 도곡로 249 (역삼동),1938.0,N,S-OIL,강남구
486,학여울주유소,서울특별시 강남구  남부순환로 3170 (일원2동),1940.0,N,GS칼텍스,강남구
487,현대오일뱅크(주)직영 한양주유소,서울 강남구 압구정로 302 (신사동),1947.0,N,현대오일뱅크,강남구
488,SK논현주유소,서울 강남구 논현로 747 (논현동),1964.0,N,SK에너지,강남구
489,경원주유소,서울 강남구 도산대로 428 (청담동),1984.0,N,S-OIL,강남구
490,금성주유소,서울 강남구 테헤란로 619 (삼성동),1985.0,N,SK에너지,강남구
491,갤러리아주유소,서울 강남구 압구정로 426 (청담동),1989.0,N,SK에너지,강남구
492,(주)소모에너지엔테크놀러지쎈트럴주유소,서울 강남구 삼성로 335 (대치동),1990.0,N,GS칼텍스,강남구
493,선우상사,서울 강남구 남부순환로 2651 (도곡동),1998.0,N,SK에너지,강남구
494,(주)만정에너지,서울 강남구 봉은사로 433 (삼성동),1999.0,N,GS칼텍스,강남구
495,오천주유소,서울 강남구 봉은사로 503 (삼성동),1999.0,N,SK에너지,강남구
496,뉴서울(강남),서울 강남구 언주로 716 (논현동),2140.0,N,SK에너지,강남구
